!Series_title	"Comparison of Trypanosoma cruzi strains from patients with indeterminate and cardiac forms of Chagas disease"
!Series_geo_accession	"GSE1828"
!Series_status	"Public on Oct 08 2005"
!Series_submission_date	"Oct 08 2004"
!Series_last_update_date	"Mar 15 2012"
!Series_pubmed_id	"16996148"
!Series_summary	"Gene expression profiles in T. cruzi strains isolated from individuals presenting the indeterminate and cardiac forms of Chagas disease. Genetic markers differentially expressed may be of potential use in diagnostic/prognostic tests and could assist the understanding of pathogenesis of Chagas disease"
!Series_summary	"Keywords: other"
!Series_type	"Expression profiling by array"
!Series_contributor	"Cassio,S,Baptista"
!Series_contributor	"Bianca,,Zingales"
!Series_sample_id	"GSM31947 GSM31948 GSM31949 GSM31950 GSM31951 GSM31952 GSM31953 GSM31954 GSM31955 GSM31956 GSM31957 GSM31958 GSM31959 GSM31960 GSM31961 GSM31962 GSM31963 GSM31964 GSM31965 GSM31966 GSM31967 GSM31968 GSM31969 GSM31970 GSM31971 GSM31972 GSM31973 GSM31974 "
!Series_contact_name	"Ricardo,Z.N.,Vêncio"
!Series_contact_laboratory	"http://labpib.fmrp.usp.br"
!Series_contact_department	"Genetics, USP Medical School at Ribeirao Preto"
!Series_contact_institute	"Universidade de São Paulo"
!Series_contact_address	"Av. Bandeirantes, 3900"
!Series_contact_city	"Ribeirao Preto"
!Series_contact_state	"SP"
!Series_contact_zip/postal_code	"14049-900"
!Series_contact_country	"Brazil"
!Series_platform_id	"GPL1484"
!Series_platform_taxid	"5693"
!Series_sample_taxid	"5693"
!Series_relation	"BioProject: http://www.ncbi.nlm.nih.gov/bioproject/PRJNA90397"

